episode_id,anchor_label,anchor_type,plot_anchor,interpretive_note,motif_tags,display_priority,quote_status
1.14,Blicero triad,plot-pivot,"Katje, Blicero, and Gottfried form one of the book's first sustained erotic-political theatres.","The early Rocket world is already intimate: sexuality, occupation, surveillance, and colonial fantasy bind the weapon to domination before it becomes a technical object.",blicero;katje;gottfried;occupation;ritual;surveillance,8,approved
1.16,Roger and Jessica,emotional-counterpoint,Roger and Jessica briefly hold a private wartime romance against the pressure of the systems around them.,Their episode gives the score one of its clearest counterweights: ordinary attachment becomes legible only because the war machine keeps pressing on it.,roger;jessica;love;war;london,6,approved
1.19,Pökler prehistory,system-history,"Franz Pökler, Leni, Ilse, Rathenau, and IG Farben pull family history into the industrial prehistory of the Rocket.","The Pökler line starts before the Zone: domestic injury, chemical capitalism, and engineering obedience are already becoming one apparatus.",pökler;leni;ilse;ig-farben;rathenau;industry,7,none
2.02,Casino surveillance,plot-pivot,"Slothrop moves through the Riviera casino world while Katje, Tantivy, Bloat, and intelligence networks close around him.","The casino sequence turns glamour into machinery: pursuit, sexual comedy, and intelligence work are cut into a social field of observation.",slothrop;katje;casino;surveillance;riviera,7,none
2.03,Katje disappears,plot-pivot,"Slothrop's casino intimacy with Katje turns into loss, uncertainty, and further manipulation by hidden agencies.",Absence becomes a plot engine here: erotic farce gives way to paranoia because the systems around Slothrop can use disappearance as control.,slothrop;katje;casino;paranoia;absence,7,none
2.07,Imipolex file,system-revelation,"The Imipolex G/Jamf material clarifies that Slothrop's quest is tied to a specific plastic, chemical genealogy, and corporate archive.","This is where the Rocket stops being only symbol or target and becomes material system: polymer, file, laboratory, corporation, and childhood conditioning.",imipolex;jamf;ig-farben;archive;conditioning;plastic,9,approved
3.01,Entering the Zone,part-opening,"The book enters the Zone as Slothrop, Tchitcherine, Geli, and scattered military remnants move through the postwar landscape.","Part III opens by changing the reader's footing: freedom, ruin, erotic possibility, pursuit, and sign-reading arrive together rather than in sequence.",zone;slothrop;tchitcherine;geli;postwar,8,approved
3.05,Tchitcherine's east,counter-quest,"Tchitcherine's Central Asian history expands the Rocket quest into Soviet, colonial, linguistic, and fraternal conflict.","The Zone becomes global here: the Rocket system is mirrored by empire, ethnography, intelligence, and family rupture rather than confined to Germany.",tchitcherine;central-asia;enzian;empire;language,8,approved
3.11,Pökler and Ilse,moral-core,"Franz Pökler's relation to Ilse, Weissmann, Dora, and the Rocket becomes one of the novel's central moral exposures.","The longest formal unit is not merely expansive; it concentrates the book's problem of technical obedience, familial desire, and historical guilt.",pökler;ilse;weissmann;dora;rocket;guilt,10,approved
3.19,Anubis threshold,zone-drift,"Slothrop is carried deeper into the maritime and theatrical drift of the Zone, where identities and allegiances become increasingly unstable.","This anchor marks the Zone as a stage for unstable crossings: the formal density matches a world of quick performances, masks, and dissolving roles.",slothrop;anubis;zone;performance;identity,6,none
3.22,Springer machinery,media-plot,"Springer, Slothrop, the Anubis material, and film-like staging turn the Zone into a media apparatus as much as a geography.","The episode makes plot feel edited and projected: the Rocket system now includes cameras, performances, and control over the terms of appearance.",springer;slothrop;film;anubis;performance,6,none
3.31,Rocketman dispersal,late-zone-fragmentation,"Bodine, Marvy, Krypton, and Slothrop/Rocketman mark the late Zone's mixture of military farce, erotic drift, and identity breakdown.","Slothrop's line is no longer a stable quest line; it disperses into roles, jokes, uniforms, rumours, and late-Zone farce.",slothrop;rocketman;bodine;marvy;identity;farce,8,none
4.03,Byron the Bulb,system-allegory,"Byron the Bulb turns industrial infrastructure into a comic-political allegory of power, communication, and planned obsolescence.","Byron matters because the novel's systems are no longer only human networks: technology itself becomes political, comic, and strangely animate.",byron;electricity;grid;technology;capital,7,none
4.06,Late American scatter,centrifugal-field,"Slothrop, Bodine, pop-cultural fragments, racial fantasy, technical jargon, and comic detours spread the late novel into a centrifugal field.","This late anchor shows form following dissolution: Slothrop's plot line is distributed through American noise, technical language, and cultural fragments.",slothrop;bodine;america;dispersal;popular-culture;technical-jargon,8,approved
4.07,Tchitcherine return,counter-quest,"Tchitcherine is pulled back towards Central Asia, where return reads less like resolution than operational extinction.",A counter-quest closes without revelation: history folds around the pursuer rather than yielding the object pursued.,tchitcherine;central-asia;return;history;closure,7,none
4.12,Final descent,finale,"The finale brings theatre, Rocket, Gottfried, Blicero/Weissmann, Slothrop traces, tarot, song, and apocalypse into one terminal convergence.","The closing movement stops separating plot, ritual, cinema, theology, and weapon trajectory: the Rocket becomes event, theatre, and end-time apparatus at once.",rocket;gottfried;blicero;weissmann;slothrop;tarot;cinema;apocalypse,10,approved
