episode_id,P01,P02,P03,P04,P05,P06,P07,P08
1.01,0,0,0,0,0,0,0,0
1.02,0,0,0,0,0,3,0,0
1.03,1,0,0,0,2,0,0,0
1.04,3,0,0,0,2,0,0,0
1.05,0,0,0,0,1,3,0,0
1.06,0,0,0,0,3,2,0,0
1.07,0,0,0,0,3,0,0,0
1.08,2,0,0,0,3,0,0,0
1.09,0,0,0,0,1,3,0,0
1.10,3,0,0,0,2,0,0,0
1.11,0,0,0,3,1,0,0,0
1.12,1,0,0,0,2,0,0,0
1.13,1,0,0,2,2,0,0,0
1.14,0,3,0,0,0,0,0,0
1.15,3,0,0,0,0,0,0,0
1.16,0,0,0,0,0,3,0,0
1.17,2,0,0,0,2,0,0,0
1.18,0,0,0,0,2,0,0,0
1.19,0,0,0,3,0,0,0,0
1.20,0,0,0,0,2,0,0,0
1.21,2,0,0,2,0,1,0,0
2.01,3,1,0,0,2,0,0,0
2.02,3,2,0,0,2,0,0,0
2.03,3,0,0,0,2,0,0,0
2.04,1,2,0,0,3,0,0,0
2.05,3,0,0,2,0,0,0,0
2.06,3,0,0,0,0,0,0,0
2.07,3,0,0,3,0,0,0,0
2.08,2,0,0,0,3,0,0,0
3.01,3,0,0,0,0,0,0,0
3.02,3,0,0,0,0,0,0,0
3.03,0,0,3,0,0,0,0,0
3.04,3,0,2,0,0,0,2,0
3.05,0,0,1,0,0,0,3,0
3.06,3,0,0,0,0,0,0,2
3.07,3,0,0,0,0,0,0,2
3.08,0,0,0,0,0,0,0,3
3.09,1,0,0,0,0,0,3,0
3.10,3,0,0,0,0,0,1,1
3.11,0,2,0,3,0,0,0,1
3.12,3,0,0,0,0,0,0,1
3.13,0,0,2,3,0,0,0,0
3.14,2,0,0,0,0,0,0,3
3.15,1,0,0,0,0,0,0,3
3.16,1,1,0,0,0,0,0,3
3.17,1,3,0,0,0,0,0,3
3.18,1,0,0,0,0,0,0,3
3.19,3,0,0,0,0,0,0,0
3.20,3,0,0,0,0,0,0,0
3.21,2,1,3,0,0,0,0,0
3.22,2,0,3,0,0,0,0,0
3.23,0,0,0,0,0,3,0,0
3.24,0,0,0,0,0,3,0,0
3.25,2,0,0,0,0,0,0,0
3.26,3,0,2,0,0,0,0,0
3.27,0,0,2,0,0,0,2,0
3.28,3,0,0,0,0,0,0,0
3.29,1,0,0,3,0,0,0,0
3.30,1,0,0,0,0,0,0,0
3.31,2,0,0,0,0,0,0,0
3.32,1,0,0,0,0,0,2,0
4.01,1,0,0,0,0,2,0,1
4.02,1,0,0,0,0,3,0,0
4.03,0,0,0,0,0,1,0,0
4.04,1,2,3,0,0,1,0,0
4.05,0,3,0,0,0,0,0,0
4.06,3,0,0,0,0,1,0,0
4.07,0,0,1,0,0,0,3,0
4.08,0,0,0,0,0,3,0,0
4.09,0,3,0,0,0,2,1,0
4.10,0,2,3,0,0,0,0,0
4.11,0,2,0,0,0,0,2,0
4.12,2,3,3,0,0,0,0,2
